Key,English,Chinese,ChineseTraditional
str_lv,level,等级,等級
str_lvlup,upgrade,升级,升級
str_income,earnings,收益,收益
str_lvlfull,Has reached the level,已满级,已滿級
str_lack_gold,Lack of seashells,海贝不足,金幣不足
str_lack_diamond,Pearl is insufficient,珍珠不足,鑽石不足
str_lack_item,Lack of props,道具不足,道具不足
str_lack_exp,inexperienced,经验不足,經驗不足
str_lack_energy,Lack of physical strength,体力不足,體力不足
str_lack_frag,Lack of debris,碎片不足,碎片不足
str_lack_lvl,Insufficient level,等级不足,等級不足
str_exp,experience,经验,經驗
str_gold,seashells,海贝,金幣
str_diamond,pearl,珍珠,鑽石
str_free,free,免费,免費
str_nextfree,The next time free,下次免费,下次免費
str_congraget,Congratulations to obtain,恭喜获得,恭喜獲得
str_welcomeback,Welcome back,欢迎回来,歡迎回來
str_getit,Get it!,获得它！,獲得它！
str_loadingprogress,{0} in the load,加载中{0},加載中{0}
str_unlock,unlock,解锁,解鎖
str_second,seconds,秒,秒
str_minute,points,分,分
str_map,The map,地图,地圖
str_removead,Remove the ads,去除广告,去除廣告
str_setting,Set up the,设置,設置
str_sound,voice,声音,聲音
str_gather,collect,采集,採集
str_saveit,collect,拯救,拯救
str_vibrate,vibration,震动,震動
str_video_notready,The video is not ready yet,视频还未准备好,視頻還未準備好
str_get,To obtain,获取,獲取
str_shop,The store,商店,商店
str_nothanks,"No, thanks.",不，谢谢,不，謝謝
str_language_type,Simplified Chinese,简体中文,繁體中文
str_language,language,语言,語言
str_accountLvl,level,等级,等級
str_ok,determine,确定,確定
str_shopadfreedesc,Includes motivational video,包含激励视频,包含激勵視頻
str_timestr_overday,{0:D2} Day {1:D2} hour {2:D2} minutes,{0:D2}天{1:D2}小时{2:D2}分钟,{0:D2}天{1:D2}小時{2:D2}分鐘
str_extendTip,Can't reach... There's something in the way,够不着...有东西挡着了,夠不著...有東西擋著了
str_manager,The administrator,管理员,管理員
str_nday,The first day {0},第{0}天,第{0}天
str_signin,Sign in,签到,簽到
str_resumepurchase,Return to buy,恢复购买,恢復購買
str_resumepurchase_suc,Resume purchase successful!,恢复购买成功！,恢復購買成功！
str_resumepurchase_fail,Resume purchase failed!,恢复购买失败！,恢復購買失敗！
str_battlegridempty,"Go first, please!",请先上阵！,請先上陣！
str_petonbattle,There's a pet already!,已经上阵了一只宠物！,已經上陣了一只寵物！
str_battlefull,The battle is full,上阵已满,上陣已滿
str_SpeedUpTitle,There's only one construction crew!,只有一个建造队！,只有一個建造隊！
str_SpeedUpTitle_0,"The engineering team is already under construction, whether to speed up",工程队已在建造中，是否加速,工程隊已在建造中，是否加速
str_SpeedUpTitle_1,主角正忙，是否加速,主角正忙，是否加速,主角正忙，是否加速
str_SpeedUpTitle_2,"{0} expansion, whether to accelerate",{0}扩建中，是否加速,{0}擴建中，是否加速
str_SpeedUpTitle_3,"{0} manufacturing, whether to accelerate",{0}制造中，是否加速,{0}製造中，是否加速
str_SpeedUpTitle_2_1,{0} Whether to accelerate the upgrade,{0}升级中，是否加速,{0}升級中，是否加速
str_SpeedUpTitle_4,{0} Whether to accelerate the upgrade,{0}升级中，是否加速,{0}升級中，是否加速
str_SpeedUpTitle_5,Does it speed up the fight?,是否加速战斗？,是否加速戰鬥？
str_storeCount,Inventory: {0},库存：{0},庫存：{0}
str_cancel,cancel,取消,取消
str_cancelExtend,Cancel the expansion,取消扩建,取消擴建
str_cancelMake,Cancel the manufacturing,取消制造,取消製造
str_cancelBuilding,Cancel the building,取消修建,取消修建
str_cancelUpgrade,Undo the upgrade,取消升级,取消升級
str_FactoryMaking,"Workshop production, can not be recycled",工坊制作中，无法回收,工坊製作中，無法回收
str_Function_notunlock,Function not unlocked,功能未解锁,功能未解鎖
str_mission,checkpoint,关卡,關卡
str_getreward,rewarded,获得奖励,獲得獎勵
str_lvl,Lv.{0},Lv.{0},Lv.{0}
str_lvlTo,Level of lv. {0},等级达lv.{0},等級達lv.{0}
str_equipItem,equipment,装备,裝備
str_removeItem,To unload,卸下,卸下
str_armytype_infantry,A warrior,战士,戰士
str_armytype_cavalry,The knight,骑士,騎士
str_armytype_archer,striker,射手,射手
str_armytype_wizard,The mage,法师,法師
str_armytype_pet,pet,宠物,寵物
str_lately,"Recently,",最近,最近
str_itemtype_1,Base material,基础材料,基礎材料
str_itemtype_2,Special materials,特殊材料,特殊材料
str_itemtype_3,drawings,图纸,圖紙
str_itemtype_4,The ingredients,食材,食材
str_itemtype_5,food,食品,食品
str_itemtype_6,Heroes pieces,英雄碎片,英雄碎片
str_itemtype_7,The treasure chest,宝箱,寶箱
str_itemtype_101,weapons,武器,武器
str_itemtype_201,helmet,头盔,頭盔
str_itemtype_301,armor,护甲,護甲
str_itemtype_401,boots,靴子,靴子
str_itemtype_501,The necklace,项链,項鏈
str_itemtype_601,ring,戒指,戒指
str_itemtype_701,scroll,卷轴,卷軸
str_itemtype_1001,The props,道具,道具
str_SelectType1,Type selection,类型筛选,類型篩選
str_SelectType2,The quality of screening,质量筛选,品質篩選
str_SelectType3,The rankings,等级排序,等級排序
str_All,all,全部,全部
str_Quality1,ordinary,普通,普通
str_Quality2,good,优良,優良
str_Quality3,delicate,精致,精緻
str_Quality4,senior,高级,高級
str_Quality5,belly,绝品,絕品
str_Quality6,Legend has it that,传说,傳說
str_HighToLow,From high to low,从高到低,從高到低
str_LowToHigh,From low to high,从低到高,從低到高
str_EquipBlastingDesc,{0}!,制作出了{0}！,製作出了{0}！
str_initialName,I,我,我
name_building_1001,timber,木材厂,木材廠
name_building_1002,Shi Liaochang,石料厂,石料廠
name_building_1003,Herbal plant,草药厂,草藥廠
name_building_1004,The tanneries,皮革厂,皮革廠
name_building_2001,Weapons fang,武器坊,武器坊
name_building_2002,Tire fang,头饰坊,頭飾坊
name_building_2003,The tailor shop,裁缝铺,裁縫鋪
name_building_2004,Shoes fang,鞋履坊,鞋履坊
name_building_2005,Necklace fang,项链坊,項鏈坊
name_building_2006,Ring fang,戒指坊,戒指坊
name_building_2007,Scroll fang,卷轴坊,卷軸坊
name_building_3001,warehouse,仓库,倉庫
name_building_3002,The camp bonfire,营地,營地
name_building_3003,The pound,兽栏,獸欄
name_building_3004,Soldier's training ground,士兵训练场,士兵訓練場
name_building_3005,The black market,黑市,黑市
name_building_3006,Orders for building,订单建筑,訂單建築
name_building_3007,Melting pot,熔炉,熔爐
name_building_3008,A hut,茅草屋,茅草屋
name_decoration_101,The bonfire,篝火,篝火
name_decoration_102,The statue of,神像,神像
name_decoration_103,Wells,水井,水井
name_decoration_104,Wooden table,木桩桌子,木樁桌子
name_decoration_105,Wooden stool,木桩凳子,木樁凳子
name_decoration_106,barbecues,烤肉架,烤肉架
name_decoration_107,The stone wall,石墙,石牆
name_decoration_108,The cane makes up a hammock,藤编吊床,藤編吊床
name_decoration_109,Flower bed,花坛,花壇
name_decoration_110,Tracery wall,花墙,花牆
name_decoration_111,The fence,栅栏,柵欄
name_attribute_1,Degree of prosperity,繁荣度,繁榮度
name_attribute_2,The price is a bonus,售价加成,售價加成
name_attribute_3,Shortened manufacturing time,制造时间缩短,製造時間縮短
name_attribute_4,damage,攻击力,攻擊力
name_attribute_5,defense,防御力,防禦力
name_attribute_6,HP,血量,血量
name_attribute_7,Sunder armor,破甲,破甲
name_attribute_8,Output time-consuming,产出耗时,產出耗時
name_attribute_9,output,产出量,產出量
name_attribute_10,Upper limit of output,产出上限,產出上限
name_attribute_11,Equipment storage upper limit,装备存储上限,裝備存儲上限
name_attribute_12,High quality probability,高质量概率,高質量概率
name_attribute_13,Unlock the drawings,解锁图纸,解鎖圖紙
name_attribute_14,Price increase,售价提高,售價提高
name_attribute_15,Reduce the consumables,减少耗材,減少耗材
name_attribute_16,The quality of ascension,质量提升,品質提升
name_attribute_17,price,售价,售價
name_attribute_18,energy,能量,能量
name_attribute_19,Additional customer,额外顾客,額外顧客
name_attribute_20,The number of residents,居民人数,居民人數
name_attribute_21,Upper limit of base material,基础材料上限,基礎材料上限
name_attribute_22,Upper limit of energy,能量上限,能量上限
name_attribute_23,Selling the energy,售卖能量,售賣能量
name_Ground_5001,A run-down old camp,破败的旧营地,破敗的舊營地
name_Ground_5002,Damaged idol,损坏的神像,損壞的神像
name_Ground_5003,Dilapidated pier,破败的码头,破敗的碼頭
name_Ground_5004,An abandoned watchtower,废弃的瞭望塔,廢棄的瞭望塔
name_Ground_5005,Trapped mammoths,被困的猛犸象,被困的猛獁象
name_Ground_5006,A dangerous broken bridge,危险的断桥,危險的斷橋
str_DegreeOfMakeEquip1,"{0}, {1}",{0}:{1},{0}:{1}
str_DegreeOfMakeEquip2,Time: {0} seconds,耗时:{0}秒,耗時:{0}秒
str_DegreeOfMakeEquip3,Inventory: {0},库存:{0},庫存:{0}
str_DegreeOfMakeEquip4,Price: {0},售价:{0},售價:{0}
name_item_1,seashells,海贝,海貝
name_item_2,pearl,珍珠,珍珠
name_item_3,Degree of prosperity,繁荣度,繁榮度
name_item_4,love,爱心,愛心
name_item_5,Mysterious treasure chest,神秘宝箱,神秘寶箱
name_item_6,Experience value,经验值,經驗值
name_item_7,Physical strength,体力,體力
name_item_8,The SLATE,石板,石板
name_item_9,PiaoSuBao box,旧质宝箱,舊質寶箱
name_item_10,Plain treasure chest key,旧质宝箱钥匙,舊質寶箱鑰匙
name_item_11,Wooden chests,朴素宝箱,樸素寶箱
name_item_12,Key to a wooden treasure chest,朴素宝箱钥匙,樸素寶箱鑰匙
name_item_13,Silver treasure chest,闪光宝箱,閃光寶箱
name_item_14,Silver treasure chest key,闪光宝箱钥匙,閃光寶箱鑰匙
name_item_15,Delicate treasure chest,精致宝箱,精緻寶箱
name_item_16,The key to the treasure chest,精致宝箱钥匙,精緻寶箱鑰匙
name_item_17,Luxurious treasure chest,豪华宝箱,豪華寶箱
name_item_18,Key to a luxury treasure chest,豪华宝箱钥匙,豪華寶箱鑰匙
name_item_19,The sovereign treasure box,至尊宝箱,至尊寶箱
name_item_20,Key to the treasure chest,至尊宝箱钥匙,至尊寶箱鑰匙
name_item_21,Plain equipment box,旧质装备箱,舊質裝備箱
